feature,coefficient,direction,absolute_coefficient,interpretation
numeric__hist_7d_offline_duration_sec_median,-0.3209119632144537,lowers score,0.3209119632144537,Higher values decrease predicted persistent degradation risk.
categorical__site_type_Heizraum,-0.31184118433209546,lowers score,0.31184118433209546,Higher values decrease predicted persistent degradation risk.
numeric__hist_7d_reboot_cnt_max,-0.30744000914536956,lowers score,0.30744000914536956,Higher values decrease predicted persistent degradation risk.
numeric__hist_7d_offline_duration_sec_max,0.2959851884034473,raises score,0.2959851884034473,Higher values increase predicted persistent degradation risk.
numeric__hist_14d_offline_duration_sec_std,0.2840404448704509,raises score,0.2840404448704509,Higher values increase predicted persistent degradation risk.
numeric__hist_28d_offline_duration_sec_median,0.27260395347652416,raises score,0.27260395347652416,Higher values increase predicted persistent degradation risk.
categorical__region_Niedersachsen,0.27027971178402543,raises score,0.27027971178402543,Higher values increase predicted persistent degradation risk.
numeric__hist_14d_reboot_cnt_sum,0.26948214951888155,raises score,0.26948214951888155,Higher values increase predicted persistent degradation risk.
numeric__hist_7d_ecio_rsrq_normal_mean,0.26812625787802735,raises score,0.26812625787802735,Higher values increase predicted persistent degradation risk.
categorical__region_Baden-Württemberg,0.262137103652438,raises score,0.262137103652438,Higher values increase predicted persistent degradation risk.
categorical__region_Hessen,0.2498934424062138,raises score,0.2498934424062138,Higher values increase predicted persistent degradation risk.
numeric__meter_28d_read_rate_min,-0.24323916898516748,lowers score,0.24323916898516748,Higher values decrease predicted persistent degradation risk.
numeric__hist_28d_ecio_rsrq_good_mean,-0.23487872491781459,lowers score,0.23487872491781459,Higher values decrease predicted persistent degradation risk.
numeric__hist_28d_rscp_rsrp_normal_mean,-0.2269056695732736,lowers score,0.2269056695732736,Higher values decrease predicted persistent degradation risk.
numeric__hist_28d_rscp_rsrp_bad_mean,-0.2254306685056692,lowers score,0.2254306685056692,Higher values decrease predicted persistent degradation risk.
numeric__hist_14d_rscp_rsrp_normal_mean,0.22530401401254566,raises score,0.22530401401254566,Higher values increase predicted persistent degradation risk.
numeric__hist_28d_offline_duration_sec_mean,0.21596424884821086,raises score,0.21596424884821086,Higher values increase predicted persistent degradation risk.
categorical__fw_version_3.3.1,0.2113963797638121,raises score,0.2113963797638121,Higher values increase predicted persistent degradation risk.
numeric__hist_28d_reboot_cnt_median,-0.1923021621942268,lowers score,0.1923021621942268,Higher values decrease predicted persistent degradation risk.
numeric__hist_7d_disconnection_cnt_median,0.19058133699230795,raises score,0.19058133699230795,Higher values increase predicted persistent degradation risk.
numeric__hist_7d_offline_duration_sec_mean,0.18164089219396654,raises score,0.18164089219396654,Higher values increase predicted persistent degradation risk.
numeric__hist_28d_duplicate_rows,-0.17963956325244962,lowers score,0.17963956325244962,Higher values decrease predicted persistent degradation risk.
numeric__hist_14d_reboot_cnt_median,0.1725450352498511,raises score,0.1725450352498511,Higher values increase predicted persistent degradation risk.
categorical__antenna_type_Omni 5dBi,-0.1686508940512547,lowers score,0.1686508940512547,Higher values decrease predicted persistent degradation risk.
categorical__hw_model_GW-2100,0.15426750019036609,raises score,0.15426750019036609,Higher values increase predicted persistent degradation risk.
numeric__hist_7d_duplicate_rate,-0.15134379180263793,lowers score,0.15134379180263793,Higher values decrease predicted persistent degradation risk.
numeric__hist_28d_disconnection_cnt_mean,0.1491504544493704,raises score,0.1491504544493704,Higher values increase predicted persistent degradation risk.
numeric__hist_28d_duplicate_rate,0.14764322851215728,raises score,0.14764322851215728,Higher values increase predicted persistent degradation risk.
numeric__hist_14d_rscp_rsrp_bad_mean,0.14665757690407838,raises score,0.14665757690407838,Higher values increase predicted persistent degradation risk.
categorical__tenant_tenant_b,-0.14196926734662074,lowers score,0.14196926734662074,Higher values decrease predicted persistent degradation risk.
numeric__hist_14d_ecio_rsrq_bad_mean,-0.14070602963912832,lowers score,0.14070602963912832,Higher values decrease predicted persistent degradation risk.
categorical__fw_version_2.15.1,0.13912645512137659,raises score,0.13912645512137659,Higher values increase predicted persistent degradation risk.
numeric__hist_14d_disconnection_cnt_mean,-0.127981840581135,lowers score,0.127981840581135,Higher values decrease predicted persistent degradation risk.
categorical__region_Sachsen,-0.127887464934414,lowers score,0.127887464934414,Higher values decrease predicted persistent degradation risk.
categorical__fw_version_3.2.0,-0.12714505066079357,lowers score,0.12714505066079357,Higher values decrease predicted persistent degradation risk.
numeric__hist_28d_reboot_cnt_sum,-0.12390511134134868,lowers score,0.12390511134134868,Higher values decrease predicted persistent degradation risk.
categorical__site_type_Gebäude,0.12386835480185378,raises score,0.12386835480185378,Higher values increase predicted persistent degradation risk.
numeric__meter_28d_failure_count,0.12296742833595439,raises score,0.12296742833595439,Higher values increase predicted persistent degradation risk.
categorical__hw_model_GW-3400,0.1153534700085387,raises score,0.1153534700085387,Higher values increase predicted persistent degradation risk.
categorical__tenant_tenant_c,0.11441252941314356,raises score,0.11441252941314356,Higher values increase predicted persistent degradation risk.
numeric__hist_14d_observed_days,-0.1121441776403207,lowers score,0.1121441776403207,Higher values decrease predicted persistent degradation risk.
numeric__hist_7d_rscp_rsrp_bad_mean,0.11118818029991215,raises score,0.11118818029991215,Higher values increase predicted persistent degradation risk.
numeric__hist_14d_reboot_cnt_max,0.10997116484217209,raises score,0.10997116484217209,Higher values increase predicted persistent degradation risk.
numeric__installed_age_days,-0.08474548803933,lowers score,0.08474548803933,Higher values decrease predicted persistent degradation risk.
categorical__tenant_tenant_d,-0.08184613188058251,lowers score,0.08184613188058251,Higher values decrease predicted persistent degradation risk.
numeric__hist_28d_offline_duration_sec_sum,0.08178239816869262,raises score,0.08178239816869262,Higher values increase predicted persistent degradation risk.
numeric__hist_14d_reboot_cnt_mean,-0.06353961371162589,lowers score,0.06353961371162589,Higher values decrease predicted persistent degradation risk.
numeric__hist_7d_rscp_rsrp_normal_mean,-0.06114630976548226,lowers score,0.06114630976548226,Higher values decrease predicted persistent degradation risk.
numeric__hist_7d_duplicate_rows,0.057324146287278964,raises score,0.057324146287278964,Higher values increase predicted persistent degradation risk.
categorical__antenna_type_Omni 3dBi,-0.05255376140420244,lowers score,0.05255376140420244,Higher values decrease predicted persistent degradation risk.
categorical__region_Nordrhein-Westfalen,-0.048338368303686235,lowers score,0.048338368303686235,Higher values decrease predicted persistent degradation risk.
categorical__antenna_type_Panel 7dBi,0.04408113716758513,raises score,0.04408113716758513,Higher values increase predicted persistent degradation risk.
numeric__hist_28d_observed_days,-0.04273511194994869,lowers score,0.04273511194994869,Higher values decrease predicted persistent degradation risk.
numeric__hist_7d_reboot_cnt_median,-0.029792010707151456,lowers score,0.029792010707151456,Higher values decrease predicted persistent degradation risk.
numeric__hist_14d_rscp_rsrp_good_mean,0.026002814399000297,raises score,0.026002814399000297,Higher values increase predicted persistent degradation risk.
numeric__hist_28d_rssi_bad_mean,0.023275539314142314,raises score,0.023275539314142314,Higher values increase predicted persistent degradation risk.
categorical__fw_version_2.14.3,0.019113464496774316,raises score,0.019113464496774316,Higher values increase predicted persistent degradation risk.
numeric__hist_14d_rssi_good_mean,-0.015548389789898597,lowers score,0.015548389789898597,Higher values decrease predicted persistent degradation risk.
numeric__hist_7d_rscp_rsrp_good_mean,0.01139896999112158,raises score,0.01139896999112158,Higher values increase predicted persistent degradation risk.
categorical__site_type_Kellerraum,-0.00933599637301429,lowers score,0.00933599637301429,Higher values decrease predicted persistent degradation risk.
numeric__hist_28d_rscp_rsrp_good_mean,-0.006897488923326014,lowers score,0.006897488923326014,Higher values decrease predicted persistent degradation risk.
categorical__site_type_Außenmast,0.003909928226221493,raises score,0.003909928226221493,Higher values increase predicted persistent degradation risk.
numeric__meter_28d_weeks,0.0,raises score,0.0,Higher values increase predicted persistent degradation risk.
